CR;CRPercent;loss;accuracy;size;parameters;channels_conv1;channels_conv2;channels_dense1;channels_dense2;channels_dense3
0.0;0.0;0.3315724730491638;0.8928999900817871;446468.0;110742.0;12.0;32.0;120.0;84.0;10.0
2.0;0.5;0.37604352831840515;0.8689000010490417;217032.0;53394.0;11.0;17.0;105.0;59.0;10.0
3.0;0.6666666666666667;0.3695162832736969;0.8722000122070312;150892.0;36859.0;11.0;14.0;89.0;41.0;10.0
4.0;0.75;0.3817669153213501;0.8628000020980835;113024.0;27386.0;11.0;11.0;82.0;38.0;10.0
8.0;0.875;0.4514373540878296;0.8331000208854675;56636.0;13295.0;10.0;7.0;60.0;28.0;10.0
16.0;0.9375;0.515175998210907;0.8228999972343445;30972.0;6879.0;8.0;5.0;44.0;16.0;10.0
24.0;0.9583333333333334;0.5242355465888977;0.8087000250816345;18184.0;3682.0;5.0;3.0;37.0;14.0;10.0
32.0;0.96875;0.5416665077209473;0.8044999837875366;17280.0;3456.0;5.0;3.0;35.0;13.0;10.0
48.0;0.9791666666666666;0.5723764300346375;0.7944999933242798;12432.0;2244.0;3.0;2.0;32.0;12.0;10.0
64.0;0.984375;0.6213505864143372;0.7741000056266785;10156.0;1675.0;1.0;2.0;25.0;10.0;10.0
