CR;CRPercent;loss;accuracy;size;parameters;channels_conv1;channels_conv2;channels_dense1;channels_dense2;channels_dense3;energyJoule;duration;energyJouleStd;durationStd
0.0;0.0;0.3266866207122803;0.8937000036239624;446468;110742;12;32;120;84;10;0.1412214777398932;1.3134998666666668;0.0019636485098172;0.0008280622887337
2.0;0.5;0.3429083526134491;0.8878999948501587;446508;110742;12;32;120;84;10;0.1066431017348962;0.9353007999999998;0.001016570218436;0.0002561764478124
3.0;0.66;0.3318140208721161;0.8848000168800354;446508;110742;12;32;120;84;10;0.0938996284521762;0.8084036666666666;0.0009318547066386;0.0001080869169196
4.0;0.75;0.3451225459575653;0.8779000043869019;446508;110742;12;32;120;84;10;0.0876595303616798;0.7450931333333333;0.001142372226641;0.0001142685081464
8.0;0.875;0.4504634141921997;0.8421000242233276;446508;110742;12;32;120;84;10;0.0764718917458506;0.6519040666666667;0.0008561247000606;0.0002429777814921
16.0;0.9375;0.6300343871116638;0.7609999775886536;446508;110742;12;32;120;84;10;0.0730721399777792;0.6042888000000001;0.0007107426944963;0.0001388063399128
24.0;0.9583333333333334;0.7002102732658386;0.7430999875068665;446508;110742;12;32;120;84;10;0.0703588494411698;0.5886586666666667;0.000780761050606;0.0001132252358045
32.0;0.96875;0.8336520791053772;0.7156000137329102;446508;110742;12;32;120;84;10;0.0691605121828993;0.579959;0.0007996274803378;6.937305449275811e-05
48.0;0.9791666666666666;1.0612801313400269;0.6811000108718872;446508;110742;12;32;120;84;10;0.0693930915181693;0.5721502666666666;0.0005275762251544;6.706401128174388e-05
64.0;0.984375;1.6582385301589966;0.4289999902248382;446508;110742;12;32;120;84;10;0.0684256320996674;0.5686981999999999;0.0005255017701214;8.053673396184836e-05
